row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
765,2020-08-22,11662.96,-0.028515917057076456,0,0.5204610951008646,0.5797800538617637,0.5121685432752756,0.5156977,0.4896729,0.46527043,0,-0.0,-0.028515917057076456,0.8853178153708331,0.9327333983876339
809,2020-10-05,10792.21,0.04642329976900017,1,0.5204610951008646,0.5080552890738015,0.5252041350680894,0.5843142,0.47335255,0.45933196,0,0.0,0.04642329976900017,0.8853178153708331,0.9760339605455413
814,2020-10-10,11293.22,0.018763470471663712,1,0.5204610951008646,0.43664583992759276,0.36627670214148167,0.3779003,0.47451547,0.40556267,0,0.0,0.018763470471663712,0.8853178153708331,0.9943477449435785
830,2020-10-26,13052.19,0.05660429399204259,1,0.5204610951008646,0.598007843782458,0.5388928419786363,0.55149513,0.50791323,0.55706924,1,0.054604293992042585,0.05660429399204259,0.9336599696377349,1.0506320970286893
835,2020-10-31,13791.0,0.13044884344862595,1,0.5204610951008646,0.6480753689113478,0.5280254810435769,0.56471914,0.51671904,0.5736191,1,0.12844884344862595,0.13044884344862595,1.0535875129119812,1.1876858389760865
879,2020-12-14,19273.14,0.2360004648957046,1,0.5204610951008646,0.45350794385734494,0.5072956358565787,0.541713,0.5165024,0.4791185,1,0.23400046489570459,0.2360004648957046,1.3001274807416938,1.4679802491244878
884,2020-12-19,23821.61,-0.003879250814701418,0,0.5204610951008646,0.5168098241143626,0.6630459429247907,0.7056424,0.588689,0.5839563,1,-0.005879250814701418,-0.003879250814701418,1.2924837051913276,1.462285585547106
900,2021-01-04,31988.71,0.25319901927898947,1,0.5204610951008646,0.6239824137356581,0.6630409233845703,0.61583257,0.6189127,0.52904695,1,0.25119901927898947,0.25319901927898947,1.6171543443694636,1.832534861713436
905,2021-01-09,40088.22,-0.02354108014773415,0,0.5204610951008646,0.7715472088807801,0.584186885627023,0.5173563,0.636219,0.5604207,1,-0.025541080147734152,-0.02354108014773415,1.5758504756486666,1.7893950116603232
949,2021-02-22,54087.67,-0.1475611724446625,0,0.5204610951008646,0.4241884393464729,0.48873557945305707,0.46217534,0.6117998,0.447279,1,-0.1495611724446625,-0.1475611724446625,1.340164430913173,1.5253497857730953
954,2021-02-27,46106.43,0.04918316165445891,1,0.5204610951008646,0.634321194578241,0.6793318389626908,0.6738354,0.54927117,0.5241081,1,0.047183161654458905,0.04918316165445891,1.4033976259005052,1.6003713108663677
970,2021-03-15,55605.2,0.04490731082704502,1,0.5204610951008646,0.6638401218897103,0.5693545711617373,0.6243284,0.560627,0.45730096,1,0.04290731082704502,0.04490731082704502,1.4636136440489553,1.6722396827621293
975,2021-03-20,58102.28,-0.11718128789438209,0,0.5204610951008646,0.5756886244169563,0.5583335003971779,0.5882469,0.5277186,0.44902837,1,-0.11918128789438209,-0.11718128789438209,1.289178284971411,1.47628448306797
1019,2021-05-03,57169.39,0.029607802357170643,1,0.5204610951008646,0.4575331998868654,0.4586212709073599,0.5170529,0.49968198,0.4586069,1,0.02760780235717064,0.029607802357170643,1.324769664266058,1.5199940222656043
1024,2021-05-08,58862.05,-0.15614610772135873,0,0.5204610951008646,0.45740648971267767,0.4828809419608212,0.5057261,0.5081109,0.45650604,1,-0.15814610772135873,-0.15614610772135873,1.1152624982350499,1.282652871929098
1040,2021-05-24,38796.29,-0.10802940178042797,0,0.5204610951008646,0.4756130663548674,0.4191777975330852,0.4924824,0.48788944,0.5328251,0,-0.0,-0.10802940178042797,1.1152624982350499,1.1440886494826497
1045,2021-05-29,34605.15,0.13413148042993606,1,0.5204610951008646,0.7968400915476133,0.5844983205781497,0.6224747,0.5618486,0.52655977,1,0.13213148042993605,0.13413148042993606,1.262623783194836,1.2975469537808437
1089,2021-07-12,33086.63,-0.04734722152120052,0,0.5204610951008646,0.5355208780457619,0.528313360027119,0.54137486,0.5237692,0.47460032,1,-0.049347221521200524,-0.04734722152120052,1.200316807667584,1.236111710726023
1094,2021-07-17,31520.07,0.024357813926174643,1,0.5204610951008646,0.6501662948900641,0.5708835532193884,0.57265604,0.50757235,0.5474259,1,0.02235781392617464,0.024357813926174643,1.2271532675058758,1.266220689767853
1110,2021-08-02,39147.82,0.13857016814729395,1,0.5204610951008646,0.6768946602735796,0.5224596758142575,0.49755463,0.49965727,0.51204455,1,0.13657016814729395,0.13857016814729395,1.3947457955916545,1.4416811036605668
1115,2021-08-07,44572.54,-0.003893428554890499,0,0.5204610951008646,0.5643867021837323,0.49829311837579016,0.504775,0.52038676,0.47870144,1,-0.005893428554890499,-0.003893428554890499,1.386525960893101,1.4360680212845287
1159,2021-09-20,43015.62,-0.008019877430570643,0,0.5204610951008646,0.5400348528719587,0.5662994269689029,0.63613075,0.543132,0.50899166,1,-0.010019877430570643,-0.008019877430570643,1.372633140710648,1.4245509317718648
1164,2021-09-25,42670.64,0.027031701422804977,1,0.5204610951008646,0.3616027741119235,0.6318465671806964,0.60297304,0.50274825,0.5018795,1,0.025031701422804975,0.027031701422804977,1.406992483651964,1.4630589672211005
1180,2021-10-11,57471.35,0.0592333397423237,1,0.5204610951008646,0.4448360477509297,0.4608143890485442,0.4190303,0.52422976,0.4905325,1,0.0572333397423237,0.0592333397423237,1.4875193624837126,1.5497208360895611
1185,2021-10-16,60875.57,0.021643821979818956,1,0.5204610951008646,0.49065795213885016,0.5006604669747552,0.526431,0.5471215,0.46124107,1,0.019643821979818954,0.021643821979818956,1.5167399280318765,1.5832627179842997
1229,2021-11-29,57776.25,-0.14926167759243636,0,0.5204610951008646,0.48565167274163,0.4631750136908678,0.5144845,0.49643213,0.4937904,1,-0.15126167759243636,-0.14926167759243636,1.2873153020463437,1.3469422686284027
1234,2021-12-04,49152.47,-0.032691744687500024,0,0.5204610951008646,0.7013393625144342,0.6166225178184401,0.66199946,0.5437066,0.5368797,1,-0.034691744687500026,-0.032691744687500024,1.24265608825544,1.3029083758736009
1250,2021-12-20,46914.16,0.07429526607744874,1,0.5204610951008646,0.50531225351695,0.5282184257582088,0.6049384,0.4803108,0.5014253,0,0.0,0.07429526607744874,1.24265608825544,1.3997083003336666
1255,2021-12-25,50399.66,-0.06505579601132228,0,0.5204610951008646,0.44099927952508416,0.39167340620566166,0.43706638,0.49557173,0.40066007,1,-0.06705579601132228,-0.06505579601132228,1.1593287950891555,1.3086491626718049
1299,2022-02-07,43839.99,-0.03700092084875006,0,0.5204610951008646,0.3946378013118908,0.49028330518387353,0.5063031,0.5163937,0.524833,1,-0.039000920848750065,-0.03700092084875006,1.1141139045142066,1.2602279385850024
1304,2022-02-12,42217.87,-0.04031870864162512,0,0.5204610951008646,0.567889830953612,0.5466561560924762,0.56201476,0.4924669,0.521191,1,-0.042318708641625125,-0.04031870864162512,1.0669660427954866,1.2094171755071579
1320,2022-02-28,43160.0,-0.08716496756255798,0,0.5204610951008646,0.3336856222508974,0.44340480147372535,0.46000314,0.5057815,0.4883302,1,-0.08916496756255798,-0.08716496756255798,0.9718300501992762,1.103998366634476
1325,2022-03-05,39397.96,0.0006101838775409707,1,0.5204610951008646,0.5555274323057214,0.5467566616418418,0.5006908,0.50999063,0.5196413,1,-0.0013898161224590293,0.0006101838775409707,0.970479385127219,1.104672008638628
1369,2022-04-18,40801.13,-0.033320890867483355,0,0.5204610951008646,0.36832461885619705,0.4274606308879934,0.49837753,0.48281536,0.47373042,0,-0.0,-0.033320890867483355,0.970479385127219,1.0678633531944166
1374,2022-04-23,39441.6,0.007618098657255379,1,0.5204610951008646,0.5455626254991492,0.54173315571821,0.5024839,0.4951629,0.5255289,1,0.005618098657255379,0.007618098657255379,0.9759316340576962,1.0759984415715191
1390,2022-05-09,30076.31,0.0003467845623350563,1,0.5204610951008646,0.6663132912184064,0.6177436554197816,0.6731055,0.5878679,0.5813656,1,-0.0016532154376649438,0.0003467845623350563,0.9743182088141664,1.0763715812201526
1395,2022-05-14,30086.74,0.007727324396062718,1,0.5204610951008646,0.48574827929615905,0.4917287767275961,0.4792959,0.49128345,0.5775937,1,0.005727324396062718,0.007727324396062718,0.979898445261036,1.0846890535989437
